0.0 -12555 
2433.5 -47667 
1422.0 -34675 
3790.5 -90123 
3146.0 -77131 
4517.5 -145123 
5162.0 -158115 
9082.0 -226266 
14269.0 -291493 
9957.5 -238905 
8428.0 -213449 
23819.5 -388936 
38381.5 -463701 
23275.5 -376297 
17507.5 -324048 
15144.5 -304132 
16632.0 -311409 
7942.0 -202212 
19716.0 -344860 
7930.0 -195240 
6801.0 -189268 
6789.0 -182296 
6037.5 -170754 
6156.5 -176276 
36158.0 -454996 
34606.0 -450362 
12642.0 -267312 
11584.5 -263086 
25580.5 -399271 
26132.0 -403195 
21225.5 -355195 
20572.5 -351409 
23240.0 -367834 
30266.5 -428713 
28804.0 -426169 
31076.0 -441657 
33558.0 -442357 
12725.5 -276030 
19268.5 -334383 
18589.0 -332221 
28311.0 -413530 
26874.0 -411910 
13517.5 -279951 
10709.0 -250447 
13128.0 -278549 
11098.5 -251849 
22610.5 -364755 
21767.5 -363353 
21940.0 -364048 
11501.0 -254368 
