0.0 -12555 
2433.5 -47667 
1422.0 -34675 
3790.5 -90123 
3146.0 -77131 
4517.5 -145123 
5162.0 -158115 
9957.5 -238905 
14003.5 -291188 
31458.5 -441657 
36933.0 -463701 
33457.5 -454996 
23024.5 -376297 
21378.0 -354890 
8193.5 -202212 
15396.0 -304132 
17463.5 -316758 
16366.5 -311104 
6801.0 -189268 
7664.5 -194935 
6156.5 -176276 
6037.5 -170754 
28822.0 -418683 
26192.0 -403195 
25395.5 -398966 
10709.0 -250447 
13769.0 -279951 
12977.0 -276030 
12376.5 -267007 
11501.0 -254368 
11584.5 -263086 
21564.0 -364048 
22519.0 -367834 
19007.0 -332221 
28828.5 -426169 
30821.0 -432022 
30583.0 -429018 
19547.5 -338465 
19145.0 -335946 
20562.0 -347022 
19882.5 -344860 
23900.0 -388936 
25372.5 -390556 
26536.5 -411910 
27953.0 -413530 
17507.5 -324048 
18714.5 -325363 
9069.0 -214851 
8428.0 -213449 
9082.0 -226266 
